run_accession	experiment_accession	scientific_name	instrument_model	library_name	fastq_ftp	sample_alias	sample_accession
ERR13615574	ERX12986525	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/074/ERR13615574/ERR13615574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/074/ERR13615574/ERR13615574_2.fastq.gz	15075	SAMEA115717654
ERR13615577	ERX12986528	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/077/ERR13615577/ERR13615577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/077/ERR13615577/ERR13615577_2.fastq.gz	15004	SAMEA115717653
ERR13615580	ERX12986531	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/080/ERR13615580/ERR13615580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/080/ERR13615580/ERR13615580_2.fastq.gz	14039	SAMEA115717652
ERR13615572	ERX12986523	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/072/ERR13615572/ERR13615572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/072/ERR13615572/ERR13615572_2.fastq.gz	18005	SAMEA115717655
ERR13615584	ERX12986535	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/084/ERR13615584/ERR13615584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/084/ERR13615584/ERR13615584_2.fastq.gz	14005	SAMEA115717651
ERR13615575	ERX12986526	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/075/ERR13615575/ERR13615575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/075/ERR13615575/ERR13615575_2.fastq.gz	15075	SAMEA115717654
ERR13615576	ERX12986527	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/076/ERR13615576/ERR13615576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/076/ERR13615576/ERR13615576_2.fastq.gz	15004	SAMEA115717653
ERR13615585	ERX12986536	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/085/ERR13615585/ERR13615585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/085/ERR13615585/ERR13615585_2.fastq.gz	05043	SAMEA115717650
ERR13615579	ERX12986530	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/079/ERR13615579/ERR13615579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/079/ERR13615579/ERR13615579_2.fastq.gz	14039	SAMEA115717652
ERR13615586	ERX12986537	Vulpes lagopus	Illumina NovaSeq 6000		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/086/ERR13615586/ERR13615586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/086/ERR13615586/ERR13615586_2.fastq.gz	05043	SAMEA115717650
ERR13615582	ERX12986533	Vulpes lagopus	Illumina MiSeq		ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/082/ERR13615582/ERR13615582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR136/082/ERR13615582/ERR13615582_2.fastq.gz	14005	SAMEA115717651
