run_accession	experiment_accession	submission_accession	scientific_name	instrument_model	library_name	study_title	study_alias	fastq_ftp	sample_alias	sample_accession
SRR24040969	SRX19842984	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	10608	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/069/SRR24040969/SRR24040969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/069/SRR24040969/SRR24040969_2.fastq.gz	10608	SAMN34035591
SRR24040974	SRX19842979	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	9055	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/074/SRR24040974/SRR24040974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/074/SRR24040974/SRR24040974_2.fastq.gz	9055	SAMN34035586
SRR24040982	SRX19842971	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	8047	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/082/SRR24040982/SRR24040982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/082/SRR24040982/SRR24040982_2.fastq.gz	8047	SAMN34035579
SRR24040983	SRX19842970	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	8030	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24040983/SRR24040983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/083/SRR24040983/SRR24040983_2.fastq.gz	8030	SAMN34035578
SRR24040990	SRX19842963	SRA1614351	Vulpes pallida	Illumina NovaSeq 6000	468	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/090/SRR24040990/SRR24040990_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/090/SRR24040990/SRR24040990_2.fastq.gz	468	SAMN34035545
SRR24040993	SRX19842960	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	6010	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/093/SRR24040993/SRR24040993_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/093/SRR24040993/SRR24040993_2.fastq.gz	6010	SAMN34035569
SRR24041002	SRX19842951	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	3643	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/002/SRR24041002/SRR24041002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/002/SRR24041002/SRR24041002_2.fastq.gz	3643	SAMN34035561
SRR24041003	SRX19842950	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	3642	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/003/SRR24041003/SRR24041003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/003/SRR24041003/SRR24041003_2.fastq.gz	3642	SAMN34035560
SRR24041004	SRX19842949	SRA1614351	Vulpes pallida	Illumina NovaSeq 6000	3483	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/004/SRR24041004/SRR24041004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/004/SRR24041004/SRR24041004_2.fastq.gz	3483	SAMN34035559
SRR24041007	SRX19842946	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	2790	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/007/SRR24041007/SRR24041007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/007/SRR24041007/SRR24041007_2.fastq.gz	2790	SAMN34035556
SRR24041008	SRX19842945	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	2782	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/008/SRR24041008/SRR24041008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/008/SRR24041008/SRR24041008_2.fastq.gz	2782	SAMN34035555
SRR24041009	SRX19842944	SRA1614351	Vulpes vulpes	Illumina NovaSeq 6000	1515	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/009/SRR24041009/SRR24041009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/009/SRR24041009/SRR24041009_2.fastq.gz	1515	SAMN34035554
SRR24041013	SRX19842940	SRA1614351	Vulpes rueppellii	Illumina NovaSeq 6000	84	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/013/SRR24041013/SRR24041013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/013/SRR24041013/SRR24041013_2.fastq.gz	84	SAMN34035542
SRR24067060	SRX19868346	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR11	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/060/SRR24067060/SRR24067060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/060/SRR24067060/SRR24067060_2.fastq.gz	VR11	SAMN34035609
SRR24067061	SRX19868345	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR10	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/061/SRR24067061/SRR24067061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/061/SRR24067061/SRR24067061_2.fastq.gz	VR10	SAMN34035608
SRR24067062	SRX19868344	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR09	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24067062/SRR24067062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/062/SRR24067062/SRR24067062_2.fastq.gz	VR09	SAMN34035607
SRR24067063	SRX19868343	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR08	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/063/SRR24067063/SRR24067063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/063/SRR24067063/SRR24067063_2.fastq.gz	VR08	SAMN34035606
SRR24067064	SRX19868342	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR07	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/064/SRR24067064/SRR24067064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/064/SRR24067064/SRR24067064_2.fastq.gz	VR07	SAMN34035605
SRR24067068	SRX19868338	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	VR04	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/068/SRR24067068/SRR24067068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/068/SRR24067068/SRR24067068_2.fastq.gz	VR04	SAMN34035602
SRR24067072	SRX19868334	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	12238	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/072/SRR24067072/SRR24067072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/072/SRR24067072/SRR24067072_2.fastq.gz	12238	SAMN34035597
SRR24067075	SRX19868331	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	11469	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/075/SRR24067075/SRR24067075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/075/SRR24067075/SRR24067075_2.fastq.gz	11469	SAMN34035594
SRR24067076	SRX19868330	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	11466	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/076/SRR24067076/SRR24067076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/076/SRR24067076/SRR24067076_2.fastq.gz	11466	SAMN34035593
SRR24067077	SRX19868329	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	707	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/077/SRR24067077/SRR24067077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/077/SRR24067077/SRR24067077_2.fastq.gz	707	SAMN34035547
SRR24067080	SRX19868326	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	10476	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/080/SRR24067080/SRR24067080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/080/SRR24067080/SRR24067080_2.fastq.gz	10476	SAMN34035590
SRR24067087	SRX19868319	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8522	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/087/SRR24067087/SRR24067087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/087/SRR24067087/SRR24067087_2.fastq.gz	8522	SAMN34035582
SRR24067088	SRX19868318	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	542	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/088/SRR24067088/SRR24067088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/088/SRR24067088/SRR24067088_2.fastq.gz	542	SAMN34035546
SRR24067089	SRX19868317	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8079	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/089/SRR24067089/SRR24067089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/089/SRR24067089/SRR24067089_2.fastq.gz	8079	SAMN34035581
SRR24067091	SRX19868315	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	8047	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/091/SRR24067091/SRR24067091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/091/SRR24067091/SRR24067091_2.fastq.gz	8047	SAMN34035579
SRR24067094	SRX19868312	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	7367	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/094/SRR24067094/SRR24067094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/094/SRR24067094/SRR24067094_2.fastq.gz	7367	SAMN34035576
SRR24067097	SRX19868309	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	6824	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/097/SRR24067097/SRR24067097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/097/SRR24067097/SRR24067097_2.fastq.gz	6824	SAMN34035573
SRR24067099	SRX19868307	SRA1615770	Vulpes pallida	Illumina NovaSeq 6000	468	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/099/SRR24067099/SRR24067099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/099/SRR24067099/SRR24067099_2.fastq.gz	468	SAMN34035545
SRR24067101	SRX19868305	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	6588	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/001/SRR24067101/SRR24067101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/001/SRR24067101/SRR24067101_2.fastq.gz	6588	SAMN34035570
SRR24067102	SRX19868304	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	6010	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/002/SRR24067102/SRR24067102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/002/SRR24067102/SRR24067102_2.fastq.gz	6010	SAMN34035569
SRR24067104	SRX19868302	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	5706	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/004/SRR24067104/SRR24067104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/004/SRR24067104/SRR24067104_2.fastq.gz	5706	SAMN34035567
SRR24067105	SRX19868301	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	5705	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/005/SRR24067105/SRR24067105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/005/SRR24067105/SRR24067105_2.fastq.gz	5705	SAMN34035566
SRR24067109	SRX19868297	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	4964	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/009/SRR24067109/SRR24067109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/009/SRR24067109/SRR24067109_2.fastq.gz	4964	SAMN34035562
SRR24067113	SRX19868293	SRA1615770	Vulpes pallida	Illumina NovaSeq 6000	3483	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/013/SRR24067113/SRR24067113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/013/SRR24067113/SRR24067113_2.fastq.gz	3483	SAMN34035559
SRR24067114	SRX19868292	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	3213	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/014/SRR24067114/SRR24067114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/014/SRR24067114/SRR24067114_2.fastq.gz	3213	SAMN34035558
SRR24067115	SRX19868291	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	2794	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/015/SRR24067115/SRR24067115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/015/SRR24067115/SRR24067115_2.fastq.gz	2794	SAMN34035557
SRR24067116	SRX19868290	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	2790	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/016/SRR24067116/SRR24067116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/016/SRR24067116/SRR24067116_2.fastq.gz	2790	SAMN34035556
SRR24067118	SRX19868288	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	1515	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/018/SRR24067118/SRR24067118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/018/SRR24067118/SRR24067118_2.fastq.gz	1515	SAMN34035554
SRR24067121	SRX19868285	SRA1615770	Vulpes zerda	Illumina NovaSeq 6000	VZ05	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/021/SRR24067121/SRR24067121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/021/SRR24067121/SRR24067121_2.fastq.gz	VZ05	SAMN34035625
SRR24067123	SRX19868283	SRA1615770	Vulpes pallida	Illumina NovaSeq 6000	968	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/023/SRR24067123/SRR24067123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/023/SRR24067123/SRR24067123_2.fastq.gz	968	SAMN34035550
SRR24067125	SRX19868281	SRA1615770	Vulpes zerda	Illumina NovaSeq 6000	VZ01	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/025/SRR24067125/SRR24067125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/025/SRR24067125/SRR24067125_2.fastq.gz	VZ01	SAMN34035622
SRR24067126	SRX19868280	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	VV12	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/026/SRR24067126/SRR24067126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/026/SRR24067126/SRR24067126_2.fastq.gz	VV12	SAMN34035621
SRR24067128	SRX19868278	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	VV10	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/028/SRR24067128/SRR24067128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/028/SRR24067128/SRR24067128_2.fastq.gz	VV10	SAMN34035619
SRR24067132	SRX19868274	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	VV03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/032/SRR24067132/SRR24067132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/032/SRR24067132/SRR24067132_2.fastq.gz	VV03	SAMN34035615
SRR24067134	SRX19868272	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	795	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/034/SRR24067134/SRR24067134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/034/SRR24067134/SRR24067134_2.fastq.gz	795	SAMN34035549
SRR24067135	SRX19868271	SRA1615770	Vulpes vulpes	Illumina NovaSeq 6000	1446	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/035/SRR24067135/SRR24067135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/035/SRR24067135/SRR24067135_2.fastq.gz	1446	SAMN34035553
SRR24067138	SRX19868268	SRA1615770	Vulpes rueppellii	Illumina NovaSeq 6000	84	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/038/SRR24067138/SRR24067138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/038/SRR24067138/SRR24067138_2.fastq.gz	84	SAMN34035542
SRR24070357	SRX19871509	SRA1615875	Vulpes vulpes	HiSeq X Ten	VV03	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/057/SRR24070357/SRR24070357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/057/SRR24070357/SRR24070357_2.fastq.gz	VV03	SAMN34035615
SRR24070358	SRX19871508	SRA1615875	Vulpes rueppellii	HiSeq X Ten	VR11	North-African fox genomes show signatures of repeated introgression and adaptation to life in deserts	PRJNA951250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24070358/SRR24070358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/058/SRR24070358/SRR24070358_2.fastq.gz	VR11	SAMN34035609
